k ʏ r	9472	0.0396278198005
a	8515	0.0356240377535
θ ʏ r	4669	0.0195336033202
n	3052	0.0127685922753
n a	2770	0.0115887944307
ð	2138	0.00894470848116
θ k ʏ r	1889	0.00790297208649
s d̥	1841	0.00770215543209
f ouː t ʏ r	1565	0.00654745966932
n t	1551	0.00648888814512
n t a	1548	0.00647633710422
θ ʏ nː ʏ r	1471	0.00615419372113
h auː r	1356	0.00567307048665
f j a	1271	0.00531745766116
k ouː ð ʏ r	1145	0.00479031394337
m auː r	1093	0.00457276256778
ɪː ð ʏ r	1091	0.00456439520718
f ʏ t͡l ʏ r	1032	0.00431755806948
kʰ ʏ r	971	0.00406235357119
s j auː	932	0.00389919003949
tʰ u ŋ k ʏ r	891	0.0037276591472
kʰ v ɪː ð ʏ r	795	0.00332602583841
r øyː ð ʏ r	732	0.00306245397952
h œ n t ʏ r	721	0.00301643349622
f ʏ k ʏ r	665	0.00278214739942
f aː r	657	0.00274867795703
r k ʏ r	652	0.00272775955553
p	651	0.00272357587523
s y n t ʏ r	645	0.00269847379343
r ð ʏ r	617	0.00258133074503
n r	558	0.00233449360734
l ɪː v ʏ r	554	0.00231775888614
t͡n	521	0.00217969743624
kʰ a l t ʏ r	506	0.00211694223174
v aʰ t ʏ r	477	0.00199561550305
kʰ ɔː	456	0.00190775821675
eiː k ʏ r	450	0.00188265613495
h eiː r a	448	0.00187428877435
kʰ j a	448	0.00187428877435
c	448	0.00187428877435
l uː	434	0.00181571725015
s k ɔʰ t ʏ r	432	0.00180734988955
s a n t ʏ r	423	0.00176969676685
t͡l	417	0.00174459468505
a r̥ t ʏ r	412	0.00172367628355
f ð ʏ r	406	0.00169857420175
iɛː	397	0.00166092107905
aiː	389	0.00162745163666
rː	388	0.00162326795636
a n t ʏ r	373	0.00156051275186
kʰ t ʏ r	370	0.00154796171096
m t ʏ r	359	0.00150194122766
l a ŋ	350	0.00146428810496
ei r	350	0.00146428810496
v ɪ n t ʏ r	348	0.00145592074436
f aː ð	346	0.00144755338376
iː	345	0.00144336970346
kʰ n	338	0.00141408394136
p a	325	0.00135969609746
n a k ʏ r	319	0.00133459401566
s eiː j a	317	0.00132622665506
h ɔ	312	0.00130530825356
kʰ ð ʏ r	298	0.00124673672937
b̥	297	0.00124255304907
kʰ v a	296	0.00123836936877
l ð ʏ r	295	0.00123418568847
c iː	291	0.00121745096727
xʷ ʏ r	288	0.00120489992637
tʰ ʏ r	288	0.00120489992637
j uːa	288	0.00120489992637
xʷ iː r	287	0.00120071624607
s ouː ð ʏ r	287	0.00120071624607
b œ r	285	0.00119234888547
s m auː r	283	0.00118398152487
v ɪː t	281	0.00117561416427
h eiː	280	0.00117143048397
f ɪː t	279	0.00116724680367
iː t ʏ r	274	0.00114632840217
m ɪː c ɪ ð	267	0.00111704264007
c ɪ	256	0.00107102215677
l t a	249	0.00104173639467
f ouː	248	0.00103755271437
m aː r	246	0.00102918535377
s c ɪ ð	240	0.00100408327197
ɛʰ k ʏ r	240	0.00100408327197
n iː t ʏ r	240	0.00100408327197
a t͡l ʏ r	238	0.000995715911373
f j œː t ʏ r	235	0.000983164870473
xʷ aː r	222	0.000928777026575
t eiː j a	221	0.000924593346275
l ɪː ð	210	0.000878572862976
n ouʰ t	209	0.000874389182676
f ouː θ	204	0.000853470781177
p ʏ r	203	0.000849287100877
θ ɛ	202	0.000845103420577
f ð	201	0.000840919740277
l øyː v	200	0.000836736059977
øyː ɣ	193	0.000807450297878
f l t ʏ r	192	0.000803266617578
n ɛː	191	0.000799082937278
ç	189	0.000790715576678
b	189	0.000790715576678
f t a	188	0.000786531896379
h œ n t a	187	0.000782348216079
r t͡n	187	0.000782348216079
kʰ j œː ð	186	0.000778164535779
h ʏ n t	179	0.00074887877368
n ouʰ t a	173	0.00072377669188
t t ʏ r	173	0.00072377669188
v a r̥ t a	173	0.00072377669188
tʰ œ r	173	0.00072377669188
s s k ʏ r	170	0.000711225650981
ɛʰ c ɪ	168	0.000702858290381
s j	168	0.000702858290381
ɛ t ʏ r	166	0.000694490929781
