n	10273	0.0458476890944
b	5208	0.0232429441063
h ɪə	3693	0.0164816037988
ð	3171	0.0141519538711
ð ɛə	2970	0.0132549047611
n ɪə	2659	0.0118669332524
n əʊ	1523	0.00679704375457
f æ t	1457	0.00650249031544
w ɔː	1432	0.00639091704304
r əʊ	1161	0.00518146277023
n t	1064	0.00474855847332
θ ɪ	986	0.00440044986343
t uː θ	943	0.00420854383491
g r	848	0.00378456539979
f aɪ	845	0.0037711766071
w ɪ	825	0.00368191798918
k aɪ	745	0.0033248835175
w iː	737	0.00328918007034
d ɒ g	685	0.00305710766374
s æ n d	677	0.00302140421658
j uː	667	0.00297677490762
w ɛ t	652	0.00290983094418
n j uː	643	0.00286966456611
f ɑ g	637	0.00284288698074
h əʊ l d	628	0.00280272060267
h ɪ t	626	0.00279379474088
iː t	616	0.00274916543192
f l aɪ	598	0.00266883267579
b aɪ	596	0.002659906814
f ɔː	589	0.00262866629773
p	567	0.00253048181802
t uː	565	0.00252155595623
n aɪ t	556	0.00248138957816
s ə	555	0.00247692664727
k əʊ l d	552	0.00246353785458
w t	539	0.00240551975293
r iː ð	513	0.00228948354964
h æ n	489	0.00218237320813
t ɪ n d	486	0.00216898441545
f n d	484	0.00216005855365
r ɒ t	480	0.00214220683007
eɪ	462	0.00206187407394
k əʊ	437	0.00195030080154
s ɪ t	417	0.00186104218362
ʌ ð ə	416	0.00185657925273
n aɪ	415	0.00185211632183
f ʊ t	408	0.00182087580556
w n	405	0.00180748701287
r iː z	391	0.00174500598033
w ɛ n	380	0.00169591374047
s ɔː l	373	0.0016646732242
s ə n	367	0.00163789563882
r eɪ	366	0.00163343270793
w d	366	0.00163343270793
h æ t	333	0.00148615598836
b ɜː d	328	0.00146384133388
h ɔː	313	0.00139689737044
g r iː ð	304	0.00135673099238
k ʌ t	297	0.00132549047611
ʧ aɪ	295	0.00131656461431
h ɪ	292	0.00130317582163
b r iː	282	0.00125854651267
w ʊ d	279	0.00124515771998
g ɪ v	275	0.00122730599639
r æ ʧ	273	0.0012183801346
g r i s	271	0.00120945427281
f əʊ	269	0.00120052841102
d ɒ t	268	0.00119606548012
s n əʊ	264	0.00117821375654
ɔː l t	254	0.00113358444758
r iː n	248	0.0011068068622
